model,link,cost
Apple iPhone XR 64GB / Vermelho / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-64gb-vermelho-grau-a-4/,"365,82€"
Apple iPhone XR 256GB / Preto / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-256gb-preto-grau-c-mais/,"467,31€"
Apple iPhone XR 128GB / Branco / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-128gb-branco-grau-b-3/,"402,68€"
Apple iPhone XR 128GB / Branco / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-128gb-branco-grau-c-2/,"417,69€"
Apple iPhone X 256GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-x/apple-iphone-x-256gb-cinzento-grau-b-3/,"358,45€"
Apple iPhone SE 16GB / Cinzento / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-16gb-cinzento-grau-c/,"133,93€"
Apple iPhone SE 128GB / Cinzento / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-128gb-cinzento-grau-c-2/,"180,70€"
Apple iPhone SE (2020) 128GB / Branco / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-se-2020/apple-iphone-se-2020-128gb-branco-grau-premium-2/,"425,10€"
Apple iPhone 8 Plus 256GB / Cinzento / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-8-plus/apple-iphone-8-plus-256gb-cinzento-grau-c/,"321,36€"
Apple iPhone 8 256GB / Cinzento / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-256gb-cinzento-grau-c-4/,"267,85€"
Apple iPhone 7 Plus 32GB / Dourado / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-32gb-dourado-grau-b-3/,"228,49€"
Apple iPhone 7 Plus 32GB / Preto / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-32gb-preto-grau-c-mais-4/,"219,60€"
Apple iPhone 7 32GB / Rosa Dourado / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-32gb-rosa-dourado-grau-a-6/,"190,14€"
Apple iPhone 7 128GB / Vermelho / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-128gb-vermelho-grau-a-2/,"198,90€"
Apple iPhone 7 128GB / Dourado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-128gb-dourado-grau-c-mais-3/,"184,60€"
Apple iPhone 6S Plus 64GB / Prateado / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-6s-plus/apple-iphone-6s-plus-64gb-prateado-grau-b-2/,"210,83€"
Apple iPhone 5S 64GB / Cinzento / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-64gb-cinzento-grau-c-3/,"127,36€"
Apple iPhone 5S 32GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-32gb-cinzento-grau-b/,"137,80€"
Apple iPhone 5S 16GB / Dourado / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-16gb-dourado-grau-b-6/,"111,38€"
